AudioFile,Volume,sentence,Target word
spf_270.wav,1,You knew about the clip,clip
spf_157.wav,4,The steamship left on a cruise,cruise
spf_183.wav,4,The woman talked about the frogs,frogs
spf_267.wav,5,The fruit was shipped in wooden crates,crates
spf_116.wav,2,He could discuss the bread,bread
spf_239.wav,5,A chimpanzee is an ape,ape
spf_85.wav,2,Tom is considering the clock,clock
spf_295.wav,2,Get the bread and cut me a slice,slice
spf_110.wav,2,Tom will discuss the swan,swan
spf_211.wav,3,Betty knew about the nap,nap
spf_158.wav,1,Miss Smith considered the scare,scare
spf_13.wav,1,Hold the baby on your lap,lap
spf_298.wav,3,The candle burned with a bright flame,flame
spf_164.wav,5,Ruth poured herself a cup of tea,tea
spf_108.wav,1,Watermelons have lots of seeds,seeds
spf_215.wav,4,Eve was made from Adam’s rib,rib
spf_151.wav,4,He hears she asked about the deck,deck
spf_228.wav,5,The house was robbed by a thief,theif
spf_27.wav,1,I had not thought about the growl,growl
spf_16.wav,5,Ruth hopes he heard about the hips,hips
spf_186.wav,4,They did not discuss the screen,screen
spf_282.wav,1,He rode off in a cloud of dust,dust
spf_32.wav,1,The beer drinkers raised their mugs,mugs
spf_78.wav,2,You had a problem with the blush,blush
spf_94.wav,1,The farmer baled the hay,hay
spf_125.wav,3,Mr. Brown carved the roast beef,beef
spf_146.wav,1,We shipped the furniture by truck,truck
spf_3.wav,2,Miss White won’t think about the crack,crack
spf_196.wav,5,Bill can’t have considered the wheels,wheels
spf_266.wav,1,The class should consider the flood,flood
spf_283.wav,2,Miss Brown might consider the coast,coast
spf_162.wav,3,The meat from a pig is called pork,pork
spf_135.wav,3,The man spoke about the clue,clue
spf_2.wav,5,Stir your coffee with a spoon,spoon
spf_6.wav,1,The old train was powered by steam,steam
spf_121.wav,3,The storm broke the sailboat’s mast,mast
spf_276.wav,1,A termite looks like an ant,ant
spf_181.wav,5,The lion gave an angry roar,roar
spf_68.wav,2,She hopes Jane called about the calf,calf
spf_87.wav,5,You should not speak about the braids,braids
spf_104.wav,4,We’re discussing the sheets,sheets
spf_70.wav,3,She shortened the hem of her skirt,skirt
spf_174.wav,1,She wore a feather in her cap,cap
spf_28.wav,5,The scarf was made of shiny silk,silk
spf_102.wav,4,The king wore a golden crown,crown
spf_48.wav,2,He was scared out of his wits,wits
spf_268.wav,2,I’m talking about the bench,bench
spf_231.wav,3,Tom had spoken about the pill,pill
spf_285.wav,1,The bloodhound followed the trail,trail
spf_145.wav,4,Mr. White spoke about the firm,firm
spf_258.wav,2,The candle flame melted the wax,wax
spf_176.wav,3,Mary could not discuss the tack,tack
spf_271.wav,3,The boy had considered the mink,mink
spf_141.wav,4,Bill heard Tom called about the coach,coach
spf_79.wav,2,The flood took a heavy toll,toll
spf_77.wav,3,The ship’s captain summoned his crew,crew
spf_44.wav,5,We’re lost so let’s look at the map,map
spf_281.wav,4,Mr. White spoke about the jail,jail
spf_204.wav,4,Mr. Brown can’t discuss the slot,slot
spf_180.wav,5,We’re glad Bill heard about the ash,ash
spf_278.wav,3,The class is discussing the wrist,wrist
spf_259.wav,1,I haven’t discussed the sponge,sponge
spf_56.wav,3,The ducks swam around on the pond,pond
spf_71.wav,5,The baby slept in his crib,crib
spf_209.wav,5,David might consider the fun,fun
spf_64.wav,5,Ruth poured the water down the drain,drain
spf_244.wav,3,To store his wood he built a shed,shed
spf_51.wav,4,Wipe your greasy hands on that rag,rag
spf_143.wav,5,Jane has spoken about the chest,chest
